train_count,track_utilization,block_duration,time,train_priority,previous_delay,congestion,expected_delay
5,17.6,1,1,1,4.4,LOW,20.14
20,65.6,1,20,2,19.9,MEDIUM,62.26
16,60.7,3,11,2,8.6,MEDIUM,61.76
9,33.6,2,5,1,7.0,LOW,38.7
7,25.6,1,22,2,3.0,LOW,26.84
6,20.8,1,3,1,27.1,LOW,37.83
8,25.1,2,22,2,1.5,LOW,34.62
14,35.1,1,10,1,2.5,LOW,43.55
4,16.9,1,23,1,4.8,LOW,15.36
14,53.4,4,16,2,1.1,MEDIUM,49.51
5,17.0,2,5,2,4.4,LOW,27.16
4,15.0,1,23,2,0.3,LOW,15.4
9,27.6,3,4,1,20.6,LOW,40.59
21,68.5,4,19,1,3.1,MEDIUM,77.18
4,15.0,2,1,3,8.0,LOW,34.83
7,26.8,1,5,1,16.4,LOW,33.12
17,49.9,4,21,1,13.6,MEDIUM,72.88
12,39.6,2,10,1,16.5,LOW,49.45
11,36.4,2,15,1,10.2,LOW,36.64
10,43.1,2,15,1,1.7,LOW,33.84
10,36.4,3,0,1,3.7,LOW,46.76
21,68.8,2,8,1,5.7,MEDIUM,66.59
14,55.9,4,5,3,3.3,MEDIUM,70.65
3,15.0,2,15,1,24.9,LOW,36.28
4,15.0,4,2,1,13.2,LOW,45.92
23,67.3,2,19,2,12.8,HIGH,75.99
6,29.9,2,3,2,3.6,LOW,33.76
24,82.9,2,18,1,11.2,HIGH,71.78
7,22.5,1,2,2,7.6,LOW,29.42
23,85.6,1,18,1,3.8,HIGH,71.31
18,57.7,3,19,2,2.9,MEDIUM,77.6
4,15.0,3,6,1,12.4,LOW,30.75
16,61.0,1,19,1,7.3,MEDIUM,49.48
18,57.7,2,8,3,0.3,MEDIUM,68.03
9,27.7,1,0,2,0.2,LOW,26.28
7,24.2,4,7,1,14.8,LOW,43.93
11,39.4,1,6,1,0.8,LOW,40.72
14,52.0,3,17,1,5.9,MEDIUM,57.14
7,22.5,2,7,2,7.5,LOW,37.94
8,17.1,2,0,1,19.8,LOW,43.26
19,66.7,1,10,1,5.8,MEDIUM,56.45
18,62.4,2,17,1,1.7,MEDIUM,58.89
7,24.9,3,22,2,2.4,LOW,37.35
13,39.7,3,9,2,0.4,LOW,55.79
14,36.3,3,2,2,2.0,LOW,46.42
7,23.6,3,6,1,13.5,LOW,38.21
13,38.5,1,15,3,11.3,LOW,34.63
7,27.1,1,15,2,0.7,LOW,22.9
22,79.3,4,19,3,5.2,HIGH,88.9
3,15.0,3,16,1,2.9,LOW,30.82
7,19.6,3,1,1,8.4,LOW,39.67
7,34.0,2,0,2,26.0,LOW,51.96
3,15.0,2,15,1,8.0,LOW,28.59
15,52.2,1,11,2,11.0,MEDIUM,53.24
10,39.3,3,4,2,4.1,LOW,49.32
6,21.7,4,4,2,0.3,LOW,35.34
9,37.1,2,22,3,4.3,LOW,38.33
15,56.6,2,8,2,5.7,MEDIUM,59.73
15,59.0,1,8,1,5.4,MEDIUM,47.29
11,38.4,1,2,1,2.1,LOW,26.46
24,79.2,2,18,1,5.2,HIGH,75.22
7,15.9,5,15,2,10.1,LOW,53.75
12,43.3,3,15,1,3.0,LOW,51.01
9,38.1,4,2,1,8.0,LOW,54.32
15,46.6,2,19,2,1.3,MEDIUM,58.39
11,33.6,2,23,2,2.6,LOW,38.47
19,62.4,5,21,3,17.2,MEDIUM,89.03
5,15.0,2,23,2,7.9,LOW,28.75
12,41.7,4,0,2,0.7,LOW,52.78
13,41.2,3,23,2,2.5,LOW,52.15
16,47.3,2,19,3,40.9,MEDIUM,75.11
17,52.8,2,10,2,2.5,MEDIUM,56.29
11,46.0,2,16,3,6.9,LOW,48.17
11,38.1,1,7,3,6.4,LOW,48.42
10,42.7,2,3,3,4.1,LOW,48.63
8,24.0,4,5,1,0.3,LOW,36.25
9,21.9,3,7,1,2.7,LOW,34.6
14,46.0,1,19,1,24.5,LOW,59.2
13,54.1,2,2,1,0.2,MEDIUM,44.63
3,15.0,2,15,1,10.1,LOW,22.13
10,23.5,2,2,1,17.9,LOW,44.74
21,69.6,2,17,1,11.5,MEDIUM,69.09
9,36.9,3,13,2,3.1,LOW,44.28
24,75.4,2,17,2,5.9,HIGH,74.32
12,41.8,1,1,1,16.2,LOW,36.76
21,71.1,2,21,2,29.7,HIGH,78.98
4,20.8,2,2,2,0.8,LOW,28.48
9,44.5,1,15,2,1.1,LOW,32.12
14,42.9,2,8,3,25.0,LOW,63.21
14,45.5,2,3,1,16.5,LOW,45.83
7,23.4,4,0,1,1.9,LOW,40.05
3,15.0,3,3,1,28.1,LOW,39.12
8,37.8,3,0,1,1.9,LOW,35.54
5,15.0,2,13,2,0.7,LOW,27.08
19,72.1,1,20,1,9.2,MEDIUM,61.98
11,34.8,2,15,1,6.2,LOW,40.51
15,50.6,3,19,1,2.2,MEDIUM,58.94
10,34.7,2,23,1,21.1,LOW,42.06
8,24.3,2,7,2,4.1,LOW,35.75
11,42.1,1,6,2,4.1,LOW,37.64
5,19.6,4,2,1,8.0,LOW,39.44
3,19.4,4,16,1,2.1,LOW,36.08
12,44.6,1,0,1,7.1,LOW,41.97
14,40.4,3,15,1,3.6,LOW,51.44
20,67.1,1,11,3,9.5,MEDIUM,69.13
22,84.3,2,18,1,2.3,HIGH,75.51
25,81.6,1,21,2,1.6,HIGH,68.4
6,29.3,1,22,3,2.3,LOW,25.38
24,85.9,1,21,1,22.0,HIGH,82.59
8,32.0,4,13,1,15.1,LOW,53.43
9,17.8,3,5,3,14.1,LOW,50.72
11,39.9,1,5,2,12.1,LOW,39.84
4,26.1,2,12,1,8.1,LOW,34.82
14,42.4,1,18,2,0.8,LOW,43.55
25,94.5,1,21,2,3.1,HIGH,72.87
6,21.5,4,7,1,6.6,LOW,35.32
9,25.8,1,1,3,0.9,LOW,30.58
18,59.5,2,20,1,0.2,MEDIUM,58.69
14,37.4,2,0,2,0.8,LOW,42.91
4,15.0,1,14,3,0.9,LOW,25.39
9,33.1,2,0,2,0.9,LOW,38.11
10,48.2,4,4,1,1.7,LOW,51.91
14,49.9,3,15,1,5.5,MEDIUM,56.58
12,49.4,1,18,2,2.7,LOW,51.08
13,38.2,3,3,2,15.7,LOW,55.74
12,39.7,4,2,2,16.7,LOW,60.84
7,25.7,1,16,3,20.2,LOW,35.92
11,32.2,2,16,3,5.1,LOW,52.36
12,39.5,1,11,1,11.9,LOW,40.28
8,33.0,2,13,1,7.2,LOW,31.53
18,75.8,3,20,1,1.2,MEDIUM,65.78
5,21.9,1,5,2,8.1,LOW,16.68
13,40.0,1,2,2,14.5,LOW,44.04
12,40.6,2,8,2,3.4,LOW,50.08
7,17.5,2,4,1,11.0,LOW,29.19
6,21.9,2,23,1,11.9,LOW,32.45
9,39.5,3,16,1,8.3,LOW,38.32
5,18.8,1,13,2,17.2,LOW,25.94
12,40.7,2,20,1,1.3,LOW,48.36
9,30.2,1,2,1,14.8,LOW,36.32
14,48.8,4,0,1,7.5,MEDIUM,58.8
21,81.4,2,19,2,15.5,HIGH,80.18
15,55.6,1,20,1,6.1,MEDIUM,50.52
7,17.6,1,22,2,3.2,LOW,28.49
3,15.0,1,0,2,18.2,LOW,24.68
9,37.9,1,2,2,16.8,LOW,35.09
12,43.2,2,17,2,2.5,LOW,50.33
19,53.6,3,9,1,10.9,MEDIUM,72.55
20,74.3,2,21,1,0.8,HIGH,64.27
3,15.0,2,2,3,0.7,LOW,24.02
13,40.0,3,7,2,5.7,LOW,53.19
3,16.5,2,13,3,0.3,LOW,20.84
6,26.3,1,23,2,4.5,LOW,29.56
17,57.1,1,17,1,12.5,MEDIUM,51.95
9,33.2,4,14,1,17.6,LOW,53.23
16,50.8,3,21,2,2.4,MEDIUM,67.34
14,43.2,1,22,1,0.6,LOW,34.0
11,35.3,1,1,1,8.0,LOW,42.3
24,79.5,3,9,2,2.5,HIGH,84.41
4,15.0,2,1,1,0.2,LOW,24.97
12,46.1,3,16,1,1.1,LOW,44.79
14,48.2,1,7,2,22.3,MEDIUM,55.84
14,41.8,5,0,2,16.6,LOW,68.9
23,74.4,3,8,1,14.2,HIGH,81.61
19,57.3,1,10,2,3.3,MEDIUM,65.08
19,64.1,2,21,3,10.0,MEDIUM,72.19
13,52.9,1,15,1,25.2,MEDIUM,50.53
10,35.8,2,6,1,6.7,LOW,38.7
22,75.4,3,9,1,3.2,HIGH,71.6
13,35.3,2,22,2,12.8,LOW,50.24
5,25.2,3,2,1,4.5,LOW,32.46
18,61.5,1,17,3,6.9,MEDIUM,67.76
10,34.6,3,23,2,6.2,LOW,51.1
4,15.0,2,12,2,2.0,LOW,24.61
13,43.5,3,6,3,0.0,LOW,51.94
6,15.0,1,3,3,54.0,LOW,45.3
6,16.3,2,12,1,4.3,LOW,18.4
16,44.2,2,19,1,2.7,MEDIUM,55.17
10,22.3,2,0,2,11.6,LOW,38.56
9,43.6,2,7,1,7.2,LOW,41.72
6,21.6,2,13,1,17.0,LOW,30.8
9,37.5,5,15,2,12.2,LOW,57.35
3,15.0,1,13,3,2.6,LOW,22.02
16,53.3,3,11,1,7.2,MEDIUM,62.02
23,71.9,2,18,2,5.6,HIGH,66.26
10,37.7,2,22,1,24.8,LOW,50.39
11,41.9,2,14,2,2.2,LOW,41.69
11,40.5,4,1,1,2.7,LOW,44.68
3,15.0,2,1,3,20.2,LOW,40.34
12,42.6,4,22,1,4.9,LOW,57.55
23,75.6,1,21,2,4.9,HIGH,69.66
18,67.4,3,18,1,16.2,MEDIUM,72.21
15,42.8,2,21,1,2.8,LOW,50.48
20,63.2,2,21,1,9.5,MEDIUM,62.25
13,42.9,2,16,1,10.2,LOW,45.71
23,70.6,2,19,1,4.7,HIGH,62.29
18,52.0,2,9,1,3.3,MEDIUM,62.49
10,32.7,2,5,2,11.0,LOW,39.71
4,15.0,2,14,2,2.4,LOW,20.01
20,67.0,2,21,1,13.7,MEDIUM,64.25
25,85.1,2,10,2,4.3,HIGH,78.59
5,20.6,1,4,1,0.1,LOW,21.37
14,48.2,3,0,2,6.7,MEDIUM,53.56
9,41.1,3,7,1,1.7,LOW,38.76
22,76.0,1,20,2,5.0,HIGH,63.86
14,56.9,1,11,1,13.2,MEDIUM,56.33
22,81.1,1,11,3,1.7,HIGH,72.43
5,23.9,4,4,1,1.9,LOW,37.97
9,21.3,3,6,1,5.1,LOW,33.7
10,35.2,1,3,1,5.2,LOW,30.64
9,32.9,3,5,3,4.8,LOW,44.48
6,18.7,1,12,2,9.5,LOW,34.75
13,45.2,1,19,2,2.5,LOW,47.11
14,41.5,4,14,3,2.4,LOW,57.45
11,46.0,4,2,3,0.2,LOW,62.39
12,40.9,3,22,2,3.8,LOW,52.42
10,36.4,2,7,1,1.7,LOW,39.71
14,42.8,2,19,2,7.2,LOW,60.19
4,23.0,4,15,1,1.6,LOW,39.09
12,45.8,3,12,2,18.0,LOW,54.89
22,81.1,1,17,2,15.1,HIGH,72.64
20,80.2,2,9,2,11.6,HIGH,75.4
14,46.3,4,18,2,13.2,LOW,69.26
11,41.0,4,16,2,25.7,LOW,55.67
11,40.5,3,23,3,3.1,LOW,44.65
13,40.9,3,18,1,31.2,LOW,66.2
3,15.0,1,22,1,17.7,LOW,16.59
8,22.4,2,4,2,3.6,LOW,28.92
16,54.2,3,20,3,16.0,MEDIUM,70.38
9,20.9,1,22,1,18.2,LOW,34.13
25,80.3,3,8,1,0.3,HIGH,80.9
25,74.0,4,11,1,16.7,HIGH,93.24
18,70.3,1,20,1,4.5,MEDIUM,58.77
6,24.4,3,0,3,13.3,LOW,47.99
6,17.6,3,0,2,0.9,LOW,31.15
3,15.0,2,14,2,1.5,LOW,20.33
13,51.1,3,1,2,30.8,MEDIUM,64.41
20,78.7,1,21,2,4.3,HIGH,67.69
9,35.3,3,15,1,12.8,LOW,48.24
8,35.2,2,7,1,11.1,LOW,42.5
6,20.3,3,12,1,12.3,LOW,39.29
25,72.5,2,20,1,11.6,HIGH,84.42
14,47.0,1,0,1,19.6,MEDIUM,50.56
9,31.4,2,15,1,7.2,LOW,36.14
10,40.4,1,6,1,4.4,LOW,37.33
11,35.1,1,4,1,20.7,LOW,47.21
20,61.1,1,21,2,3.5,MEDIUM,55.1
6,15.0,3,22,1,8.0,LOW,32.3
5,21.0,4,2,3,15.5,LOW,44.04
20,66.2,4,11,1,19.8,MEDIUM,81.49
8,20.5,4,15,2,23.9,LOW,51.11
24,85.3,3,18,3,8.6,HIGH,89.5
10,38.8,1,4,3,10.2,LOW,46.31
17,56.6,3,21,3,5.5,MEDIUM,74.64
8,33.2,3,13,1,2.7,LOW,42.01
7,27.7,1,4,1,0.1,LOW,25.57
9,29.8,3,14,1,2.0,LOW,35.25
11,36.1,2,16,1,31.3,LOW,55.96
9,28.6,4,13,1,13.1,LOW,54.15
18,61.2,3,19,3,5.2,MEDIUM,58.86
8,36.2,5,4,2,3.4,LOW,61.25
22,81.9,1,11,2,0.5,HIGH,60.94
12,43.9,1,15,3,0.1,LOW,37.37
6,31.3,5,15,2,11.3,LOW,54.79
19,71.5,1,20,2,33.9,MEDIUM,71.0
10,33.1,2,6,2,2.3,LOW,38.76
8,30.6,2,3,1,2.6,LOW,28.26
8,35.4,4,0,1,21.8,LOW,55.56
7,24.3,1,4,3,7.4,LOW,31.53
12,39.6,1,22,3,1.5,LOW,38.66
20,78.9,2,9,3,0.4,HIGH,74.25
22,78.1,2,21,1,6.6,HIGH,69.65
8,33.5,2,4,3,4.8,LOW,44.02
3,15.0,4,3,1,4.5,LOW,30.46
9,36.1,3,1,1,27.9,LOW,48.5
23,77.1,4,19,1,2.4,HIGH,81.65
18,61.0,1,9,1,5.4,MEDIUM,57.53
25,79.2,3,18,1,1.9,HIGH,78.6
10,32.7,5,0,1,3.1,LOW,49.82
6,15.0,2,23,1,11.6,LOW,26.24
11,44.2,1,4,1,1.8,LOW,35.18
11,34.1,5,12,2,9.0,LOW,59.69
7,25.9,2,3,2,1.1,LOW,31.39
13,37.3,3,15,1,1.7,LOW,53.05
9,33.5,1,23,1,0.2,LOW,25.77
8,15.0,3,15,2,8.0,LOW,47.86
14,42.2,4,22,2,37.1,LOW,71.53
14,55.7,2,1,1,8.5,MEDIUM,54.02
8,23.2,1,16,2,20.5,LOW,38.08
22,73.6,1,19,3,6.0,HIGH,75.39
12,27.8,1,23,1,9.1,LOW,44.12
17,65.9,2,11,1,20.8,MEDIUM,68.86
17,56.3,3,17,1,0.7,MEDIUM,58.54
13,52.1,1,2,2,7.3,MEDIUM,38.21
13,40.1,1,0,1,6.9,LOW,36.92
13,35.3,2,0,1,0.3,LOW,44.83
23,86.7,2,18,1,1.4,HIGH,77.47
22,77.2,2,10,3,6.4,HIGH,81.47
7,24.4,3,4,2,5.5,LOW,38.54
21,67.8,4,11,2,3.4,MEDIUM,83.56
3,17.4,1,2,2,9.6,LOW,25.42
11,26.3,2,0,1,3.6,LOW,33.3
6,25.2,2,0,3,11.7,LOW,36.67
11,30.2,1,7,2,13.3,LOW,46.79
17,60.6,2,9,1,8.3,MEDIUM,55.23
17,69.8,3,10,2,2.6,MEDIUM,72.58
20,67.8,1,11,2,13.0,MEDIUM,62.44
13,43.7,1,12,2,2.3,LOW,40.87
15,47.9,3,11,1,2.9,MEDIUM,64.52
3,15.0,3,13,3,7.5,LOW,37.02
9,27.9,2,1,3,9.3,LOW,42.08
12,40.9,3,18,1,3.7,LOW,51.7
16,52.7,5,17,1,7.2,MEDIUM,78.3
12,39.8,1,2,1,2.3,LOW,38.21
11,34.0,1,22,3,12.7,LOW,47.45
14,46.8,1,16,2,38.8,MEDIUM,63.0
3,15.0,3,7,1,9.6,LOW,34.01
16,64.4,2,9,1,3.1,MEDIUM,59.22
5,26.6,5,1,1,3.4,LOW,40.74
19,66.6,3,18,2,0.2,MEDIUM,71.47
20,65.3,2,8,1,8.3,MEDIUM,65.34
3,15.0,1,6,3,7.3,LOW,17.99
6,15.5,2,3,2,24.7,LOW,45.77
18,57.9,1,20,2,4.1,MEDIUM,53.26
25,85.3,4,17,1,21.6,HIGH,92.87
8,23.2,2,12,1,11.4,LOW,31.36
24,77.7,1,10,1,2.7,HIGH,63.88
12,38.0,2,23,1,0.1,LOW,34.98
12,54.5,1,3,1,10.4,MEDIUM,40.28
24,82.6,2,20,3,5.5,HIGH,81.15
12,30.4,1,3,1,26.1,LOW,45.04
22,76.0,2,9,1,0.2,HIGH,71.21
7,26.5,2,4,1,5.9,LOW,30.17
19,64.2,2,8,1,12.4,MEDIUM,56.09
5,20.7,3,23,3,12.5,LOW,45.71
13,40.8,1,2,1,8.9,LOW,43.51
5,16.1,2,16,1,4.0,LOW,23.29
6,19.9,2,2,2,0.6,LOW,32.57
5,15.0,2,15,1,2.9,LOW,25.93
5,15.0,5,3,1,8.4,LOW,44.08
21,71.9,1,17,1,11.8,HIGH,66.98
9,32.0,3,16,1,13.6,LOW,40.61
11,20.6,2,6,1,11.9,LOW,36.55
13,41.1,2,23,1,3.1,LOW,44.12
3,15.0,3,22,2,9.5,LOW,32.89
10,35.1,1,4,1,27.8,LOW,42.62
17,62.7,3,11,2,1.2,MEDIUM,70.34
14,45.7,1,16,2,10.5,LOW,35.38
